ID,zone,length,poligon
405,RF,147.34,N
406,RF,148.27,N
407,RF,149.35,N
408,RF,150.54,N
409,RF,152.1,N
410,RF,153.51,N
411,RF,153.89,N
412,RF,153.12,N
413,RF,152.12,N
414,RF,151.23,N
415,RF,150.62,N
416,RF,149.6,N
417,RF,148.48,N
418,RF,147.84,N
419,RF,148.15,N
420,RF,149,N
421,RF,149.42,N
422,RF,150.72,N
423,RF,152.27,N
424,RF,153.54,N
425,RF,154.46,N
426,RF,156.01,N
427,RF,157.46,N
428,RF,158.63,N
429,RF,159.34,N
430,RF,159.92,N
431,RF,160.81,N
432,RF,161.4,N
433,RF,162.23,N
434,RF,163.19,N
435,RF,164.19,N
436,RF,164.94,N
437,RF,166.17,N
438,RF,166.56,N
439,RF,167.27,N
440,RF,167.11,N
441,RF,166.97,N
442,RF,166.85,N
443,RF,166.74,N
444,RF,166.99,N
445,RF,167.29,N
446,RF,167.85,N
447,RF,167.2,N
448,RF,169.24,N
449,RF,169.71,N
450,RF,170.17,N
451,RF,170.64,N
452,RF,170.59,N
453,RF,170.71,N
454,RF,170.91,N
455,RF,170.8,N
456,RF,170.72,N
457,RF,170.62,N
458,RF,171.06,N
459,RF,171.16,N
460,RF,170.31,N
461,RF,169.56,N
462,RF,168.75,N
463,RF,168.25,N
464,RF,167.55,N
465,RF,166.46,N
466,RF,164.66,N
467,RF,162.96,N
468,RF,160.89,N
469,RF,159.37,N
470,RF,157.54,N
471,RF,155.88,N
472,RF,153.79,N
473,RF,152.23,N
474,RF,150.35,N
475,RF,149.91,N
476,RF,149.52,N
477,RF,148.68,N
478,RF,148.55,N
479,RF,147.3,N
480,RF,158.03,N
481,RF,159.55,N
482,RF,100.07,N
483,SB,342.38,S
484,SB,342.61,S
485,SB,314.35,S
486,SB,341.73,S
487,SB,341.2,S
488,SB,340.61,S
489,SB,340,S
490,SB,339.15,S
491,SB,338.06,S
492,SB,337.21,S
493,SB,340.85,S
494,SB,338.62,S
495,SB,345.66,S
496,SB,349.6,S
497,SB,354.45,S
498,SB,356.96,S
499,SB,357.82,S
500,SB,357.35,S
501,SB,357.55,S
502,SB,356.65,S
503,SB,352.91,S
504,SB,358.28,S
505,SB,361.31,S
506,SB,366.86,S
507,SB,377.2,S
508,SB,379.51,S
509,SB,373.56,S
510,SB,374.27,S
511,SB,380.75,S
512,SB,375.3,S
513,SB,368.86,S
514,SB,361.78,S
515,SB,347.58,S
516,SB,341.9,S
517,SB,336.56,S
518,SB,330.12,S
519,SB,324.12,S
520,SB,323.22,S
521,SB,323.21,S
522,SB,323.13,S
523,SB,323.91,S
524,SB,322.43,S
525,SB,320.12,S
526,SB,320.88,S
527,SB,320.13,S
528,SB,320.79,S
529,SB,320.54,S
530,SB,320.08,C
531,SB,319.15,C
532,SB,319.2,C
533,SB,318.99,C
534,SB,318.81,C
535,SB,318.65,C
536,SB,318.38,C
537,SB,318.13,C
538,SB,317.65,C
539,SB,317.29,C
540,SB,337.66,C
541,SB,336.55,C
542,SB,335.39,C
543,SB,333.64,C
544,SB,330.33,C
545,SB,326.95,C
546,SB,324.09,C
547,SB,321.68,C
548,SB,320.54,C
549,SB,320.09,C
550,SB,319.04,C
551,SB,320.42,C
552,SB,319.8,C
553,SB,317.83,C
554,SB,315.52,C
555,SB,312.94,C
556,SB,310.25,C
557,SB,305.38,C
558,SB,302.05,C
559,SB,297.61,C
560,SB,296.06,C
561,SB,293.72,C
562,SB,290.91,C
563,SB,288.38,C
564,SB,288.12,C
565,SB,287.33,C
566,SB,287.05,C
567,SB,286.41,C
568,SB,285.8,C
569,SB,285.02,C
570,SB,281.75,C
571,SB,277.97,C
572,SB,277.28,C
573,SB,279.27,C
574,SB,281.25,C
575,SB,283.79,C
576,SB,282.3,C
577,SB,280.24,C
578,SB,278.04,C
579,SB,282.76,C
580,SB,287.69,C
581,SB,289.81,C
582,SB,290.96,C
583,SB,293.02,C
584,SB,294.39,C
585,SB,296.67,C
586,SB,297.58,C
587,SB,298.21,C
588,SB,297.58,C
589,SB,293.17,C
590,SB,289.51,C
591,SB,286.81,C
592,SB,287.23,C
593,SB,290.58,C
594,SB,293.14,C
595,SB,298.99,C
596,SB,305.39,C
597,SB,306.81,C
598,SB,308.18,C
599,SB,308.92,C
600,SB,309.54,C
601,SB,310.15,C
602,SB,310.95,C
603,SB,311.46,C
604,SB,311.61,C
605,SB,312.31,C
606,SB,313.13,C
607,SB,313.97,C
608,SB,314.69,C
609,SB,309.57,C
610,SB,303.59,C
611,SB,298.89,C
612,SB,293.19,C
613,SB,286.86,C
614,SB,291.05,C
615,SB,293.27,C
616,SB,295.87,C
617,SB,299.29,C
618,SB,300.76,C
619,SB,301.19,C
620,SB,299.31,C
621,SB,297.7,C
622,SB,295.66,C
623,SB,293.21,C
624,SB,292.39,C
625,SB,295.33,C
626,SB,296.36,C
627,SB,294.93,C
628,SB,291.58,C
629,SB,287.48,C
630,SB,286.13,N
631,SB,284.46,N
632,SB,282.83,N
633,SB,280.98,N
634,SB,278.8,N
635,SB,277.54,N
636,SB,276.15,N
637,SB,275.2,N
638,SB,274.08,N
639,SB,273.25,N
640,SB,272.31,N
641,SB,271.74,N
642,SB,271.15,N
643,SB,271.18,N
644,SB,271.58,N
645,SB,272.04,N
646,SB,272.59,N
647,SB,273.23,N
648,SB,273.86,N
649,SB,274.37,N
650,SB,274.79,N
651,SB,274.91,N
652,SB,274.89,N
653,SB,275.26,N
654,SB,275.17,N
655,SB,275,N
656,SB,274.47,N
657,SB,274.4,N
658,SB,274.93,N
659,SB,275.02,N
660,SB,275.87,N
661,SB,276.34,N
662,SB,276.85,N
663,SB,277.27,N
664,SB,274.29,N
665,SB,278.6,N
666,SB,278.8,N
667,SB,278.79,N
668,SB,278.73,N
669,SB,278.69,N
670,SB,278.87,N
671,SB,279.13,N
672,SB,279.43,N
673,SB,279.74,N
674,SB,279.78,N
675,SB,280.36,N
676,SB,280.6,N
677,SB,280.71,N
678,SB,280.87,N
679,SB,281.05,N
680,SB,281.16,N
681,SB,281.3,N
682,SB,281.77,N
683,SB,282.37,N
684,SB,283.07,N
685,SB,282.22,N
686,SB,284.07,N
687,SB,284.33,N
688,SB,283.85,N
689,SB,283.17,N
690,SB,282.35,N
